e4:5f:01:63:71:64>6,3;e4:5f:01:63:71:e5>3,9.6;e4:5f:01:63:71:55>-7,8.7;e4:5f:01:63:71:b5>0,0;e4:5f:01:63:71:a3>-7.2,17.2
-1.2,12&e4:5f:01:63:71:b5,-73;-72;-73;-75;-77;-79;-74;-80;-84;-91;-80;-85;-86;-80;-79;-79;-78;-78;-78;-79;-80;-80;-81;-82;-83;-83;-81;-81;-81;-81;-83;-81;-78;-80;-79;-79
-1.2,14.2&e4:5f:01:63:71:b5,-80;-82;-85;-82;-90;-91;-89;-89;-85;-86;-85;-84;-85;-85;-84;-81;-79;-79;-82;-83;-84;-84;-86;-88;-88
-1.2,15.4&e4:5f:01:63:71:b5,-74;-82;-81;-81;-84;-88;-89;-87;-79;-77;-76;-76;-75;-75;-74;-74;-74;-74;-74;-74;-74;-74;-74;-74;-74;-74;-74;-74;-74;-74;-74;-74;-75;-73;-76;-76
-1.2,16.6&e4:5f:01:63:71:b5,-73;-84;-87;-85;-80;-81;-82;-82;-82;-82;-81;-79;-78;-80;-80;-80;-81;-82;-81;-80;-83;-83;-82;-81;-84;-83;-81;-79;-79;-80;-80;-80
-1.2,17.8&e4:5f:01:63:71:b5,-80;-76;-84;-75;-79;-79;-83;-80;-80;-81;-82;-83;-83;-82;-83;-88;-85;-81;-81;-82;-83;-85;-88;-88;-88;-85;-85;-84;-85;-85;-84;-83
-1.2,19&e4:5f:01:63:71:b5,-92;-74;-76;-77;-85;-83;-78;-77;-76;-75;-75;-75;-75;-76;-85;-87;-84;-88;-90;-95;-88;-87;-86;-89;-87;-91;-81
-1.2,10.8&e4:5f:01:63:71:b5,-79;-83;-88;-78;-79;-80;-81;-77;-84;-75;-76;-74;-80;-84;-79;-77;-78;-77;-78;-87;-88;-84;-83;-83;-85;-84;-80;-77;-76;-83;-81;-84;-80;-79;-79;-79;-80
-1.2,9.6&e4:5f:01:63:71:b5,-75;-81;-79;-80;-74;-73;-73;-73;-74;-74;-75;-75;-79;-80;-83;-86;-79;-79;-79;-79;-78;-77;-78;-78;-79;-79
-1.2,8.4&e4:5f:01:63:71:b5,-69;-72;-74;-77;-76;-73;-70;-72;-72;-72;-72;-71;-71;-71;-71;-71;-71;-70;-70;-70;-68;-68;-68;-68;-68;-68;-68;-68
-1.2,7.2&e4:5f:01:63:71:b5,-77;-79;-76;-74;-74;-74;-71;-69;-70;-70;-71;-72;-72;-72;-74;-75;-75;-74;-74;-73;-73;-73;-76;-76;-76;-77;-80;-81;-79;-78;-77;-78;-78;-78;-78;-78;-77;-78
-1.2,0&e4:5f:01:63:71:b5,-68;-68;-66;-69;-65;-65;-67;-66;-65;-64;-61;-63;-64;-65;-65;-67;-66;-64;-64;-62;-62;-62;-63;-62;-62;-62;-62;-62;-62;-62;-63;-63;-64;-64;-65
-1.2,1.2&e4:5f:01:63:71:b5,-74;-81;-81;-78;-69;-69;-68;-65;-65;-65;-65;-66;-68;-68;-69;-71;-74;-81;-65;-62
-1.2,2.4&e4:5f:01:63:71:b5,-67;-69;-66;-64;-64;-65;-66;-66;-64;-64;-63;-64;-64;-65;-65;-66;-67;-67;-68;-67;-66;-66;-68;-68;-68;-68;-67;-68;-67;-66;-66;-66;-65;-65;-65;-65;-65;-65;-65
-1.2,3.6&e4:5f:01:63:71:b5,-74;-70;-70;-70;-68;-67;-66;-66;-65;-66;-65;-65;-65;-65;-67;-67;-68;-67;-66;-66;-66;-66
-1.2,4.8&e4:5f:01:63:71:b5,-63;-75;-73;-69;-80;-86;-76;-73;-72;-69;-68;-68;-68;-66;-66;-65;-65;-65;-65;-65;-65;-66;-66;-66;-67;-68;-70;-75;-81;-81;-79;-77;-74;-69
-1.2,4.8&e4:5f:01:63:71:b5,-74;-72;-65;-71;-64;-66;-68;-67;-66;-67;-71;-74;-75;-72;-72;-74;-75;-75;-77;-78;-82;-80;-77;-78;-76;-76;-76;-77;-75;-74;-74;-74;-75;-74;-73
