e4:5f:01:63:71:64>15,15;e4:5f:01:63:71:e5>0,20;e4:5f:01:63:71:55>10,0;e4:5f:01:63:71:b5>30,10;e4:5f:01:63:71:a3>20,30
2.5,17.5&e4:5f:01:63:71:64,-88;-87;-87;-87;-87;-87;-87;-87;-87;-87;-88;-87;-87;-87;-87;-86;-87;-87;-86;-87;-87;-87;-87;-87;-87;-89;-85;-84;-85;-85;-85;-85;-85;-85;-84;-84;-85;-85;-84;-85;-85;-86;-87;-85;-86;-86;-86;-85;-85;-85
2.5,15&e4:5f:01:63:71:64,-91;-90;-90;-89;-90;-89;-88;-88;-88;-87;-87;-87;-87;-86;-87;-86;-85;-85;-86;-86;-86;-86;-86;-86;-86;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-86;-85;-85;-85;-86;-85;-85;-85;-86;-86
2.5,12.5&e4:5f:01:63:71:64,-86;-87;-87;-87;-86;-86;-87;-88;-89;-89;-89;-89;-88;-89;-89;-88;-88;-88;-88;-88;-88;-89;-89;-89;-89;-88;-89;-88;-88;-88;-88;-88;-89;-89;-89;-89;-88;-88;-88;-88;-88;-87;-88;-88
2.5,10&e4:5f:01:63:71:64,-83;-83;-82;-83;-82;-82;-82;-82;-82;-83;-83;-83;-83;-84;-84;-84;-85;-85;-86;-86;-85;-85;-85;-86;-86;-86;-86;-86;-86;-86;-86;-86;-86;-86;-87;-87;-87;-87;-88;-88;-89;-88;-87;-86;-86;-86;-88;-88
2.5,7.5&e4:5f:01:63:71:64,-87;-86;-86;-86;-86;-85;-85;-85;-85;-85;-85;-86;-85;-85;-84;-84;-84;-84;-84;-85;-84;-85;-84;-84;-84;-84;-84;-84;-84;-84;-84;-84;-84;-84;-84;-84;-84;-84;-84;-84;-85;-85;-85;-85;-84;-84;-84
2.5,5&e4:5f:01:63:71:64,-87;-88;-88;-88;-88;-88;-88;-87;-87;-86;-87;-86;-87;-88;-88;-88;-88;-87;-88;-88;-87;-86;-86;-86;-86;-87;-86;-86;-86;-86;-86;-86;-86;-86;-86;-86;-86;-86;-86;-86;-86;-86;-86;-86;-86;-86;-86
2.5,2.5&e4:5f:01:63:71:64,-89;-89;-89;-88;-89;-90;-93;-94;-92;-96;-100;-97;-100;-100;-100;-101;-101;-101;-100;-99;-100;-100;-97;-98;-100
2.5,0&e4:5f:01:63:71:64,-97;-96;-97
5,0&e4:5f:01:63:71:64,-95;-94;-95;-95;-99;-96;-97
5,2.5&e4:5f:01:63:71:64,-97;-98
5,5&e4:5f:01:63:71:64,-95;-98
5,7.5&e4:5f:01:63:71:64,-94;-92;-94;-92;-90;-86;-86;-88;-88;-89;-91;-91;-92;-92;-91;-91;-90;-90;-85;-83;-85;-85;-84;-84;-84;-83;-83;-82;-82;-83;-83;-84;-84;-84;-84;-84;-84;-84;-83;-84;-84;-84
5,10&e4:5f:01:63:71:64,-85;-86;-85;-85;-84;-84;-81;-82;-82;-85;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-82;-82;-83;-83;-83;-85;-85;-85;-86;-86;-86;-87;-86;-85;-86;-87;-88;-86;-86;-85;-86;-85;-86;-88;-87;-87;-86;-88
5,12.5&e4:5f:01:63:71:64,-84;-83;-82;-82;-83;-80;-80;-80;-81;-80;-80;-80;-80;-81;-81;-81;-81;-80;-80;-81;-81;-82;-82;-82;-82;-82;-82;-83;-82;-83;-82;-82;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83
5,15&e4:5f:01:63:71:64,-91;-90;-90;-90;-90;-90;-89;-90;-90;-90;-90;-89;-88;-89;-88;-88;-88;-88;-86;-86;-85;-85;-84;-84;-89;-85;-84;-83;-84;-84;-84;-84;-84;-84;-85;-85;-85;-85;-85;-85;-85
5,17.5&e4:5f:01:63:71:64,-84;-84;-84;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-84;-83;-83;-83;-83;-83;-83;-84;-83;-84;-83;-84;-84;-83;-84;-84;-84;-84;-84;-84;-84;-84
5,20&e4:5f:01:63:71:64,-89;-89;-88;-90;-90;-90;-89;-88;-88;-88;-89;-89;-89;-88;-89;-89;-89;-89;-89;-89;-89;-89;-89;-88;-88;-88;-89;-89;-88;-88;-89;-89;-89;-90;-89;-89;-89;-89;-89;-89;-89;-89;-89;-89;-90;-89;-90;-90;-90
5,22.5&e4:5f:01:63:71:64,-100;-101;-100;-100;-100;-99;-99;-99;-99;-98;-98;-98;-97;-98;-97;-99;-98;-98;-98;-97;-97;-96;-98;-97;-98;-98;-99;-99;-100;-100;-100;-100
7.5,27.5&e4:5f:01:63:71:64,-102
7.5,25&e4:5f:01:63:71:64,-102;-104
7.5,22.5&e4:5f:01:63:71:64,-97;-100;-100;-100;-94;-95;-98;-98;-101;-101;-100;-100;-100;-99;-98;-97;-101
7.5,20&e4:5f:01:63:71:64,-96;-96;-93;-92;-92;-91;-92;-92;-93;-94;-94;-94;-93;-93;-93;-92;-92;-92;-92;-93;-93;-95;-95;-95;-94;-94;-94;-95;-95;-95;-94;-95;-96;-97;-97;-97;-97;-97;-97;-96
