e4:5f:01:63:71:64>7.5,5;e4:5f:01:63:71:e5>0,10;e4:5f:01:63:71:55>15,0;e4:5f:01:63:71:b5>15,10;e4:5f:01:63:71:a3>0,0
10,0&e4:5f:01:63:71:a3,-88;-88;-89;-89;-88;-88;-88;-88;-88;-89;-89;-88;-88
10,2&e4:5f:01:63:71:a3,-84;-87;-88;-86;-86;-86;-86;-86;-86
10,4&e4:5f:01:63:71:a3,-92;-91;-90;-88;-88
10,6&e4:5f:01:63:71:a3,-86;-91;-93;-93;-93;-91;-90;-89;-89
12,0&e4:5f:01:63:71:a3,-92;-91;-91;-89;-89;-90;-89;-89;-90;-91;-91;-91;-95;-94;-93;-93;-93
12,2&e4:5f:01:63:71:a3,-89;-88;-88;-88;-89;-88;-86;-86;-88;-87;-88;-87;-89;-89;-90
12,4&e4:5f:01:63:71:a3,-87;-88
12,6&e4:5f:01:63:71:a3,-89;-90;-89;-90
12,8&e4:5f:01:63:71:a3,-96;-95;-97;-98;-97;-96;-96;-96;-99;-99;-99;-97;-96;-96;-96
14,0&e4:5f:01:63:71:a3,-95;-93;-94;-95;-94;-94;-95;-95;-95;-94;-95;-96;-95;-97
14,2&e4:5f:01:63:71:a3,-92;-92;-91;-93;-93;-91;-90;-99;-98;-104
14,4&e4:5f:01:63:71:a3,-86;-87;-86;-86;-87;-86;-87;-87;-87;-86
14,6&e4:5f:01:63:71:a3,-91;-96;-94;-93;-95;-93;-93;-94;-93;-94;-94;-93;-92;-95;-96;-94;-94;-94
14,8&e4:5f:01:63:71:a3,-95;-96;-95;-95;-94;-94;-93;-92;-92;-94;-91;-92;-92;-93;-93;-91;-92;-94
14,10&e4:5f:01:63:71:a3,-94;-94;-95;-95;-99;-95;-95;-95;-94;-94;-95;-95
0,0&e4:5f:01:63:71:e5,-93;-91;-91;-91;-92;-91;-90;-91;-91;-90;-90;-90;-91;-90;-89;-88;-87;-87;-88;-88;-88;-89;-90;-90;-89;-89;-89
0,2&e4:5f:01:63:71:e5,-93;-92
0,2&e4:5f:01:63:71:e5,-98;-100;-94;-92;-92;-92;-91;-92;-91;-94;-93;-90;-90;-89;-90;-93;-93;-94;-90;-88;-88;-87
0,4&e4:5f:01:63:71:e5,-78;-78;-78;-77;-78;-79;-77
0,6&e4:5f:01:63:71:e5,-73;-73;-73;-72;-72;-70;-69;-70;-70;-71;-71;-71;-71;-71;-71;-71;-71;-71;-71;-71;-71;-71;-71;-71;-71
0,8&e4:5f:01:63:71:e5,-63;-63;-64;-64;-64;-64;-63;-64;-64;-64;-65;-64;-64;-65;-65;-65;-64;-64;-64;-64;-64
